split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks3,local_history_gated,speed_change,horizon,30,523,17.7031,14.0255,29.7986,10.5445
member2_canonical_tracks3,local_history_gated,speed_change,ADE,30,523,8.5253,6.9087,15.6615,10.2411
member2_canonical_tracks3,local_history_gated,dynamic,horizon,5,2339,3.2812,2.5701,6.2052,10.9597
member2_canonical_tracks3,local_history_gated,dynamic,horizon,10,2339,5.7665,4.5088,10.8909,13.1732
member2_canonical_tracks3,local_history_gated,dynamic,horizon,15,2339,8.5653,6.6722,16.3292,14.2934
member2_canonical_tracks3,local_history_gated,dynamic,horizon,30,2339,19.684,14.4551,37.0109,17.1297
member2_canonical_tracks3,local_history_gated,dynamic,ADE,30,2339,9.3242,7.0288,17.3009,15.3745
member2_canonical_tracks4,constant_velocity,all,horizon,5,21786,4.1645,2.9331,8.5456,0.0
member2_canonical_tracks4,constant_velocity,all,horizon,10,21786,8.9301,5.7218,20.42,0.0
member2_canonical_tracks4,constant_velocity,all,horizon,15,21786,16.1732,9.0687,40.0235,0.0
member2_canonical_tracks4,constant_velocity,all,horizon,30,21786,55.7607,23.3681,155.0566,0.0
member2_canonical_tracks4,constant_velocity,all,ADE,30,21786,21.2571,10.6239,55.6769,0.0
member2_canonical_tracks4,constant_velocity,stable,horizon,5,13947,3.8109,2.5542,8.4351,0.0
member2_canonical_tracks4,constant_velocity,stable,horizon,10,13947,9.004,5.1706,22.7169,0.0
member2_canonical_tracks4,constant_velocity,stable,horizon,15,13947,17.39,8.6986,46.9666,0.0
member2_canonical_tracks4,constant_velocity,stable,horizon,30,13947,65.3817,26.6418,187.2943,0.0
member2_canonical_tracks4,constant_velocity,stable,ADE,30,13947,23.8967,11.1079,65.7348,0.0
member2_canonical_tracks4,constant_velocity,turning,horizon,5,6222,4.6832,3.4764,8.5537,0.0
member2_canonical_tracks4,constant_velocity,turning,horizon,10,6222,8.7641,6.3555,16.0541,0.0
member2_canonical_tracks4,constant_velocity,turning,horizon,15,6222,14.0333,9.5785,27.1667,0.0
member2_canonical_tracks4,constant_velocity,turning,horizon,30,6222,39.1497,21.8913,80.8346,0.0
member2_canonical_tracks4,constant_velocity,turning,ADE,30,6222,16.6576,10.4749,33.3356,0.0
member2_canonical_tracks4,constant_velocity,speed_change,horizon,5,1617,5.2184,3.2436,9.5131,0.0
member2_canonical_tracks4,constant_velocity,speed_change,horizon,10,1617,8.9323,5.9103,16.9784,0.0
member2_canonical_tracks4,constant_velocity,speed_change,horizon,15,1617,13.9113,8.8954,27.9708,0.0
member2_canonical_tracks4,constant_velocity,speed_change,horizon,30,1617,36.6942,18.6844,77.862,0.0
member2_canonical_tracks4,constant_velocity,speed_change,ADE,30,1617,16.189,9.3998,31.8058,0.0
member2_canonical_tracks4,constant_velocity,dynamic,horizon,5,7839,4.7936,3.4332,8.6846,0.0
member2_canonical_tracks4,constant_velocity,dynamic,horizon,10,7839,8.7988,6.2556,16.1541,0.0
member2_canonical_tracks4,constant_velocity,dynamic,horizon,15,7839,14.0081,9.4246,27.4035,0.0
member2_canonical_tracks4,constant_velocity,dynamic,horizon,30,7839,38.6432,21.2883,80.2941,0.0
member2_canonical_tracks4,constant_velocity,dynamic,ADE,30,7839,16.5609,10.2359,32.9941,0.0
member2_canonical_tracks4,local_history_ungated,all,horizon,5,21786,3.7017,2.5912,7.4419,11.1136
member2_canonical_tracks4,local_history_ungated,all,horizon,10,21786,7.5106,4.838,16.671,15.8957
member2_canonical_tracks4,local_history_ungated,all,horizon,15,21786,13.2171,7.6414,31.5261,18.2775
member2_canonical_tracks4,local_history_ungated,all,horizon,30,21786,47.5902,20.8782,127.9054,14.6529
member2_canonical_tracks4,local_history_ungated,all,ADE,30,21786,18.0049,9.2864,45.2929,15.2995
member2_canonical_tracks4,local_history_ungated,stable,horizon,5,13947,3.3438,2.2781,7.2515,12.2573
